Date,Expense Type,Description,Amount (BDT),Paid By
2025-05-02,Boss (Manik),Gold Payment,1000000,Cash
2025-05-02,Krisno,Gold Payment,100000,Cash
2025-05-02,Sujon Gurd,Salary Advance,1000,Cash
2025-05-02,Sales,Bonus,2800,Cash
2025-05-02,Card,Bank,297000,Card
2025-05-02,Card,Bank,67320,Card
2025-05-02,Card,Bank,39600,Card
2025-05-02,Allowence,,740,Cash
2025-05-02,Tea,,270,Cash
2025-05-02,Bala,Gala + Fare,340,Cash
2025-05-02,Ikra,Bikash,550,Cash
2025-05-02,Transpurtasion,Fare,100,Cash
2025-05-03,Memo Return,M-16280,47000,Cash
2025-05-03,Khokon Poddar,Gold Payment,1000000,Cash
2025-05-03,Gold CashBack,5.83 gram(14793),86000,Cash
2025-05-03,Allowence,,770,Cash
2025-05-03,Photocopy,,200,Cash
2025-05-03,Card,Bank,20790,Card
2025-05-04,Himel Poddar,Gold Payment,500000,Cash
2025-05-04,Uttam,Gold Payment,100000,Cash
2025-05-04,Babul,Jewellery Box,10000,Cash
2025-05-04,Sujon,Salary Advance,5000,Cash
2025-05-04,Customer,snaks,600,Cash
2025-05-04,Home,snaks,360,Cash
2025-05-04,Allowence,,570,Cash
2025-05-04,Tisu,,150,Cash
2025-05-04,Bikash,,522,Cash
2025-05-04,Transpurtasion,Fare,20,Cash
2025-05-04,Sales,Bonus,550,Cash
2025-05-04,Card,Bank,30690,Card
2025-05-05,Boss,Bengla Bank,2000000,Cash
2025-05-05,Begal,Salary Deposit,126335,Cash
2025-05-05,Asor Ali,Salary,19000,Cash
2025-05-05,Akash Mahmudh,Salary,19500,Cash
2025-05-05,Sany,Salary,15835,Cash
2025-05-05,Sumon,Salary,16000,Cash
2025-05-05,Komol Dutta,Salary,10500,Cash
2025-05-05,Abdur rahman,Salary,15500,Cash
2025-05-05,Shimul,Salary,15000,Cash
2025-05-05,Rana,Salary,7500,Cash
2025-05-05,Faruk,Salary,7500,Cash
2025-05-05,Prokash,Gold Payment,100000,Cash
2025-05-05,Gold CashBack,4.5 Gram,58500,Cash
2025-05-05,Hojor,Salary+telwayat,1300,Cash
2025-05-05,Allowence,,840,Cash
2025-05-05,pen,,50,Cash
2025-05-05,Transpurtasion,Fare,210,Cash
2025-05-05,Card,Bank,4747,Card
2025-05-05,Card,Bank,18297,Card
2025-05-05,Nilufa,Gold Payment,14000,Cash
2025-05-05,Sales,Bonus,1200,Cash
2025-05-06,Madam,UCB Deposit,30000,Cash
2025-05-06,Nipa,Brac Deposit,20000,Cash
2025-05-06,Ismam,Brac Deposit,20000,Cash
2025-05-06,Bisho Sen,Gold Payment,200000,Cash
2025-05-06,Shonkor,Gold Payment,100000,Cash
2025-05-06,Ripon Poddar,Diamond Nospin Payment,100000,Cash
2025-05-06,Allowence,,740,Cash
2025-05-06,Home,Snacks,740,Cash
2025-05-06,Photocopy+Fare,,120,Cash
2025-05-06,Ridoy,Salary,8000,Cash
2025-05-06,Card,Bank,39600,Card
2025-05-08,Madam,,10000,Cash
2025-05-08,Home,Internet Bill,800,Cash
